batch_id,timestamp,tray_position,batch_temp_high,batch_temp_low,ambient_temp,facility_temp,sensor_status,quality_check_status,container_id,external_pressure,thermal_reading,relative_humidity,calibration_date,product_name,heat_unit,cold_value,t_min,notes
B10025,2025-01-24 8:00:00,Y5,5.0,4.7,22.2,19.7,ACTIVE,PASS,C5525,1013.5,5.0,46.0,2024-12-09,Varicella,5.1,2.4,2.0,Normal operation
B10025,2025-01-24 12:00:00,Y5,4.7,3.1,23.6,20.1,ACTIVE,PASS,C5525,1012.6,5.2,45.2,2024-12-09,Varicella,5.3,2.5,2.0,Normal operation
B10025,2025-01-24 16:00:00,Y5,4.1,3.3,23.1,19.9,ACTIVE,PASS,C5525,1012.9,5.0,45.5,2024-12-09,Varicella,5.1,2.4,2.0,Normal operation
B10025,2025-01-24 20:00:00,Y5,5.3,2.5,22.3,19.7,ACTIVE,PASS,C5525,1013.3,4.8,45.8,2024-12-09,Varicella,4.9,2.3,2.0,Normal operation
B10026,2025-01-25 8:00:00,Z1,5.1,3.1,21.5,19.1,ACTIVE,PASS,C5526,1014.4,4.0,46.9,2024-12-10,MMR,4.1,1.7,2.0,Normal operation
B10026,2025-01-25 12:00:00,Z1,5.9,2.7,21.4,19.0,ACTIVE,PASS,C5526,1014.5,4.2,47.0,2024-12-10,MMR,4.3,1.8,2.0,Normal operation
B10026,2025-01-25 16:00:00,Z1,7.0,6.3,21.7,19.3,ACTIVE,PASS,C5526,1014.2,4.4,46.7,2024-12-10,MMR,4.5,1.9,2.0,Normal operation
B10026,2025-01-25 20:00:00,Z1,6.2,4.6,21.8,19.4,ACTIVE,PASS,C5526,1014.1,4.5,46.6,2024-12-10,MMR,4.6,2.0,2.0,Normal operation
B10027,2025-01-26 8:00:00,AA2,7.2,2.6,21.9,19.5,ACTIVE,PASS,C5527,1013.9,4.7,46.4,2024-12-11,Polio,4.8,2.2,2.0,Normal operation
B10027,2025-01-26 12:00:00,AA2,4.8,4.4,24.1,20.6,ACTIVE,PASS,C5527,1012.1,4.9,44.6,2024-12-11,Polio,5.0,2.3,2.0,Normal operation
B10027,2025-01-26 16:00:00,AA2,6.4,2.3,23.6,20.3,ACTIVE,PASS,C5527,1012.4,4.7,44.9,2024-12-11,Polio,4.8,2.2,2.0,Normal operation
B10027,2025-01-26 20:00:00,AA2,6.4,2.2,23.2,20.0,ACTIVE,PASS,C5527,1012.7,4.5,45.2,2024-12-11,Polio,4.6,2.1,2.0,Normal operation
B10028,2025-01-27 8:00:00,AB3,6.9,5.0,21.6,19.2,ACTIVE,PASS,C5528,1014.3,4.4,46.8,2024-12-12,Hepatitis B,4.5,2.0,2.0,Normal operation
B10028,2025-01-27 12:00:00,AB3,4.3,2.2,21.9,19.5,ACTIVE,PASS,C5528,1014.0,4.6,46.5,2024-12-12,Hepatitis B,4.7,2.1,2.0,Normal operation
B10028,2025-01-27 16:00:00,AB3,5.4,5.2,22.1,19.6,ACTIVE,PASS,C5528,1013.8,4.7,46.3,2024-12-12,Hepatitis B,4.8,2.2,2.0,Normal operation
B10028,2025-01-27 20:00:00,AB3,2.4,2.4,21.8,19.4,ACTIVE,PASS,C5528,1014.1,4.5,46.6,2024-12-12,Hepatitis B,4.6,2.1,2.0,Normal operation
B10029,2025-01-28 8:00:00,AC4,6.9,4.0,22.0,19.5,ACTIVE,PASS,C5529,1013.8,4.8,46.3,2024-12-13,DTaP,4.9,2.2,2.0,Normal operation
B10029,2025-01-28 12:00:00,AC4,6.1,4.1,22.3,19.8,ACTIVE,PASS,C5529,1013.5,5.0,46.0,2024-12-13,DTaP,5.1,2.4,2.0,Normal operation
B10029,2025-01-28 16:00:00,AC4,5.1,3.5,22.5,19.9,ACTIVE,PASS,C5529,1013.3,5.1,45.8,2024-12-13,DTaP,5.2,2.5,2.0,Normal operation
B10029,2025-01-28 20:00:00,AC4,4.0,3.1,22.2,19.7,ACTIVE,PASS,C5529,1013.6,4.9,46.1,2024-12-13,DTaP,5.0,2.3,2.0,Normal operation
B10030,2025-01-29 8:00:00,AD5,6.7,6.2,21.8,19.4,ACTIVE,PASS,C5530,1014.1,4.6,46.6,2024-12-14,HPV,4.7,2.1,2.0,Normal operation
B10030,2025-01-29 12:00:00,AD5,6.9,5.7,24.3,20.7,ACTIVE,PASS,C5530,1011.9,4.8,44.4,2024-12-14,HPV,4.9,2.2,2.0,Normal operation
B10030,2025-01-29 16:00:00,AD5,4.2,4.0,23.9,20.4,ACTIVE,PASS,C5530,1012.2,4.6,44.7,2024-12-14,HPV,4.7,2.1,2.0,Normal operation
B10030,2025-01-29 20:00:00,AD5,6.8,4.3,23.5,20.2,ACTIVE,PASS,C5530,1012.4,4.4,45.0,2024-12-14,HPV,4.5,2.0,2.0,Normal operation
B10031,2025-01-30 8:00:00,AE1,4.8,4.0,21.4,19.0,ACTIVE,PASS,C5531,1014.5,4.1,47.0,2024-12-15,Rotavirus,4.2,1.8,2.0,Temperature near low range
B10031,2025-01-30 12:00:00,AE1,6.9,3.2,21.7,19.3,ACTIVE,PASS,C5531,1014.2,4.3,46.7,2024-12-15,Rotavirus,4.4,1.9,2.0,Temperature recovering
B10031,2025-01-30 16:00:00,AE1,5.6,3.3,21.9,19.4,ACTIVE,PASS,C5531,1014.0,4.4,46.5,2024-12-15,Rotavirus,4.5,2.0,2.0,Normal operation
B10031,2025-01-30 20:00:00,AE1,5.5,5.3,21.6,19.2,ACTIVE,PASS,C5531,1014.3,4.2,46.8,2024-12-15,Rotavirus,4.3,1.8,2.0,Normal operation
B10032,2025-01-31 8:00:00,AF2,5.8,5.6,21.8,19.4,ACTIVE,PASS,C5532,1014.1,4.6,46.6,2024-12-16,Pneumococcal,4.7,2.1,2.0,Normal operation
B10032,2025-01-31 12:00:00,AF2,6.0,3.4,23.5,20.0,ACTIVE,PASS,C5532,1012.7,4.8,45.3,2024-12-16,Pneumococcal,4.9,2.2,2.0,Normal operation
B10032,2025-01-31 16:00:00,AF2,4.9,3.7,23.0,19.8,ACTIVE,PASS,C5532,1013.0,4.6,45.6,2024-12-16,Pneumococcal,4.7,2.1,2.0,Normal operation
B10032,2025-01-31 20:00:00,AF2,5.9,3.2,22.2,19.6,ACTIVE,PASS,C5532,1013.4,4.4,45.9,2024-12-16,Pneumococcal,4.5,2.0,2.0,Normal operation
B10033,2025-02-01 8:00:00,AG3,6.2,6.1,21.0,18.7,ACTIVE,PASS,C5533,1014.7,4.6,47.2,2024-12-17,Meningococcal,4.7,2.1,2.0,Normal operation
B10033,2025-02-01 12:00:00,AG3,4.0,2.9,20.5,18.2,ACTIVE,PASS,C5533,1015.0,4.8,47.5,2024-12-17,Meningococcal,4.9,2.2,2.0,Normal operation
B10033,2025-02-01 16:00:00,AG3,3.9,3.2,20.8,18.5,ACTIVE,PASS,C5533,1014.8,4.6,47.3,2024-12-17,Meningococcal,4.7,2.1,2.0,Normal operation
B10033,2025-02-01 20:00:00,AG3,5.3,5.2,21.3,18.9,ACTIVE,PASS,C5533,1014.6,4.4,47.1,2024-12-17,Meningococcal,4.5,2.0,2.0,Normal operation
B10034,2025-02-02 8:00:00,AH4,5.6,3.2,21.7,19.3,ACTIVE,PASS,C5534,1014.2,4.5,46.7,2024-12-18,Influenza,4.6,2.0,2.0,Normal operation
B10034,2025-02-02 12:00:00,AH4,6.5,2.2,24.0,20.5,ACTIVE,PASS,C5534,1012.2,4.7,44.7,2024-12-18,Influenza,4.8,2.1,2.0,Normal operation
B10034,2025-02-02 16:00:00,AH4,6.2,2.1,23.5,20.2,ACTIVE,PASS,C5534,1012.5,4.5,45.0,2024-12-18,Influenza,4.6,2.0,2.0,Normal operation
B10034,2025-02-02 20:00:00,AH4,6.1,5.0,23.1,19.9,ACTIVE,PASS,C5534,1012.8,4.3,45.3,2024-12-18,Influenza,4.4,1.9,2.0,Normal operation
B10035,2025-02-03 8:00:00,AI5,6.8,5.8,21.5,19.1,ACTIVE,PASS,C5535,1014.4,4.3,46.9,2024-12-19,Tdap,4.4,1.9,2.0,Normal operation
B10035,2025-02-03 12:00:00,AI5,6.7,5.5,21.8,19.4,ACTIVE,PASS,C5535,1014.1,4.5,46.6,2024-12-19,Tdap,4.6,2.0,2.0,Normal operation
B10035,2025-02-03 16:00:00,AI5,6.8,5.6,22.0,19.5,ACTIVE,PASS,C5535,1013.9,4.6,46.4,2024-12-19,Tdap,4.7,2.1,2.0,Normal operation
B10035,2025-02-03 20:00:00,AI5,5.8,3.8,21.7,19.3,ACTIVE,PASS,C5535,1014.2,4.4,46.7,2024-12-19,Tdap,4.5,2.0,2.0,Normal operation
B10036,2025-02-04 8:00:00,AJ1,7.6,4.1,21.9,19.5,ACTIVE,PASS,C5536,1013.9,4.7,46.4,2024-12-20,Hepatitis A,4.8,2.2,2.0,Normal operation
B10036,2025-02-04 12:00:00,AJ1,4.2,2.1,24.2,20.6,ACTIVE,PASS,C5536,1012.0,5.0,44.5,2024-12-20,Hepatitis A,5.0,2.3,2.0,Normal operation
B10036,2025-02-04 16:00:00,AJ1,6.2,4.2,23.8,20.3,ACTIVE,PASS,C5536,1012.3,4.7,44.8,2024-12-20,Hepatitis A,4.8,2.2,2.0,Normal operation
B10036,2025-02-04 20:00:00,AJ1,5.5,3.4,23.4,20.1,ACTIVE,PASS,C5536,1012.5,4.5,45.0,2024-12-20,Hepatitis A,4.6,2.1,2.0,Normal operation
B10037,2025-02-05 8:00:00,AK2,6.9,3.0,21.4,19.0,ACTIVE,PASS,C5537,1014.5,4.2,47.0,2024-12-21,Varicella,4.3,1.8,2.0,Normal operation
B10037,2025-02-05 12:00:00,AK2,5.8,3.0,21.3,18.9,ACTIVE,PASS,C5537,1014.6,4.4,47.1,2024-12-21,Varicella,4.5,1.9,2.0,Normal operation
B10037,2025-02-05 16:00:00,AK2,5.0,3.0,21.6,19.2,ACTIVE,PASS,C5537,1014.3,4.6,46.8,2024-12-21,Varicella,4.7,2.0,2.0,Normal operation
B10037,2025-02-05 20:00:00,AK2,3.9,2.8,21.7,19.3,ACTIVE,PASS,C5537,1014.2,4.7,46.7,2024-12-21,Varicella,4.8,2.1,2.0,Normal operation
B10038,2025-02-06 8:00:00,AL3,6.9,3.4,21.8,19.4,ACTIVE,PASS,C5538,1014.1,4.6,46.6,2024-12-22,MMR,4.7,2.1,2.0,Normal operation
B10038,2025-02-06 12:00:00,AL3,4.3,3.8,23.4,19.9,ACTIVE,PASS,C5538,1012.8,4.8,45.4,2024-12-22,MMR,4.9,2.2,2.0,Normal operation
B10038,2025-02-06 16:00:00,AL3,7.3,5.3,22.9,19.7,ACTIVE,PASS,C5538,1013.1,4.6,45.7,2024-12-22,MMR,4.7,2.1,2.0,Normal operation
B10038,2025-02-06 20:00:00,AL3,5.2,4.2,22.1,19.5,ACTIVE,PASS,C5538,1013.5,4.4,46.0,2024-12-22,MMR,4.5,2.0,2.0,Normal operation
